scouting_rank,player_name,club_name,competition_name,country_name,age_at_season_end,position,minutes,goals,assists,goals_per90,assists_per90,market_value_in_eur,breakout_probability_pct
1742,Fabiano,Aris Thessalonikis,super-league-1,Greece,35,Defender,1485.0,2.0,0.0,0.121,0.0,450000.0,3.045004214124708
1743,Bojan Kovacevic,Athlitiki Enosi Larisas,super-league-1,Greece,30,Defender,530.0,0.0,0.0,0.0,0.0,300000.0,3.0405029692646743
1744,Bebeto,CD Tondela,liga-portugal,Portugal,36,Defender,1901.0,3.0,0.0,0.142,0.0,50000.0,3.03787028327193
1745,Metehan Mimaroğlu,Gençlerbirliği Spor Kulübü,super-lig,Türkiye,32,Attack,1974.0,6.0,4.0,0.274,0.182,400000.0,3.0367008832776974
1746,Yevgeniy Kucherenko,Panetolikos Agrinio,super-league-1,Greece,27,Goalkeeper,990.0,0.0,0.0,0.0,0.0,400000.0,2.999659772104989
1747,Konstantinos Apostolakis,Athlitiki Enosi Larisas,super-league-1,Greece,27,Defender,519.0,0.0,0.0,0.0,0.0,125000.0,2.984227861141389
1748,Tayfur Bingöl,Kocaelispor,super-lig,Türkiye,33,Midfield,2130.0,5.0,2.0,0.211,0.085,400000.0,2.977935949699586
1749,Dimitrios Tsakmakis,APS Atromitos Athinon,super-league-1,Greece,27,Defender,756.0,0.0,0.0,0.0,0.0,300000.0,2.96948161096909
1750,Guilherme Romão,CD Santa Clara,liga-portugal,Portugal,29,Defender,890.0,0.0,1.0,0.0,0.101,400000.0,2.952511915338139
1751,Dylan Mertens,SC Telstar,eredivisie,Netherlands,31,Midfield,475.0,0.0,0.0,0.0,0.0,200000.0,2.9470595292662605
1752,Ozan Kökcü,FC Volendam,eredivisie,Netherlands,28,Midfield,1578.0,1.0,2.0,0.057,0.114,375000.0,2.937192848938429
1753,Dejan Lovren,Panthessalonikios Athlitikos Omilos Konstantinoupoliton,super-league-1,Greece,37,Defender,1387.0,0.0,1.0,0.0,0.065,400000.0,2.909661403438557
1754,Rodrigo Abascal,Vitória Guimarães SC,liga-portugal,Portugal,32,Defender,2272.0,1.0,2.0,0.04,0.079,400000.0,2.9032885887000055
1755,Georgios Athanasiadis,Aris Thessalonikis,super-league-1,Greece,33,Goalkeeper,1138.0,0.0,0.0,0.0,0.0,500000.0,2.8842279968382543
1756,Wagane Faye,RAAL La Louvière,jupiler-pro-league,Belgium,33,Defender,1947.0,2.0,1.0,0.092,0.046,400000.0,2.8468413825440937
1757,Aaron Leya Iseka,Omilos Filathlon Irakliou FC,super-league-1,Greece,29,Attack,556.0,1.0,1.0,0.162,0.162,400000.0,2.834006076008557
1758,Sandro Lima,FC Alverca,liga-portugal,Portugal,36,Attack,1426.0,5.0,2.0,0.316,0.126,150000.0,2.820003868663656
1759,Matías González,Volou Neos Podosferikos Syllogos,super-league-1,Greece,24,Midfield,489.0,0.0,0.0,0.0,0.0,250000.0,2.8187601733086285
1760,Renan Ribeiro,CF Estrela Amadora,liga-portugal,Portugal,36,Goalkeeper,2970.0,0.0,0.0,0.0,0.0,100000.0,2.747482288276915
1761,Federico Macheda,A.G.S Asteras Tripolis,super-league-1,Greece,35,Attack,1522.0,3.0,2.0,0.177,0.118,150000.0,2.741609597239404
1762,Kevin Höög Jansson,CF Estrela Amadora,liga-portugal,Portugal,26,Midfield,814.0,0.0,0.0,0.0,0.0,400000.0,2.735340054229968
1763,Benjamin Kimpioka,CD Tondela,liga-portugal,Portugal,26,Attack,525.0,0.0,0.0,0.0,0.0,400000.0,2.730056787325585
1764,Enes Mahmutovic,NAC Breda,eredivisie,Netherlands,29,Defender,734.0,0.0,0.0,0.0,0.0,250000.0,2.711523983036093
1765,Ali Yavuz Kol,Kasimpasa,super-lig,Türkiye,25,Attack,707.0,0.0,0.0,0.0,0.0,250000.0,2.6998156094590344
1766,Sander van de Streek,Antalyaspor,super-lig,Türkiye,33,Midfield,2350.0,6.0,4.0,0.23,0.153,500000.0,2.619136640097636
1767,Peter Michorl,APS Atromitos Athinon,super-league-1,Greece,31,Midfield,1933.0,1.0,4.0,0.047,0.186,500000.0,2.6123720922842613
1768,Joel Robles,GD Estoril Praia,liga-portugal,Portugal,36,Goalkeeper,2790.0,0.0,0.0,0.0,0.0,350000.0,2.585538489729824
1769,Boyd Lucassen,NAC Breda,eredivisie,Netherlands,28,Defender,1108.0,1.0,0.0,0.081,0.0,350000.0,2.580185366173388
1770,Clint Leemans,NAC Breda,eredivisie,Netherlands,31,Midfield,1358.0,1.0,1.0,0.066,0.066,400000.0,2.570985354951291
1771,Simão,Avs Futebol,liga-portugal,Portugal,33,Goalkeeper,1073.0,0.0,0.0,0.0,0.0,200000.0,2.553667314319484
1772,Jeppe Grønning,Viborg FF,superliga,Denmark,35,Midfield,1876.0,1.0,1.0,0.048,0.048,100000.0,2.5138746605314006
1773,Vasilios Grosdis,Volou Neos Podosferikos Syllogos,super-league-1,Greece,24,Midfield,613.0,0.0,0.0,0.0,0.0,300000.0,2.5076897752624943
1774,Joel Abu Hanna,APO Levadiakos Football Club,super-league-1,Greece,28,Defender,886.0,0.0,0.0,0.0,0.0,350000.0,2.4987350501715695
1775,Martin Frydek,Aris Thessalonikis,super-league-1,Greece,34,Defender,569.0,0.0,1.0,0.0,0.158,200000.0,2.496274721727287
1776,André Rømer,Randers FC,superliga,Denmark,33,Midfield,662.0,0.0,0.0,0.0,0.0,250000.0,2.486451300942001
1777,Matej Hanousek,Gençlerbirliği Spor Kulübü,super-lig,Türkiye,33,Defender,1355.0,0.0,0.0,0.0,0.0,100000.0,2.4717076182991358
1778,Nick Viergever,FC Utrecht,eredivisie,Netherlands,37,Defender,1750.0,0.0,0.0,0.0,0.0,300000.0,2.45873414227494
1779,Jorge Pombo,Athlitiki Enosi Kifisias,super-league-1,Greece,32,Midfield,1969.0,6.0,3.0,0.274,0.137,275000.0,2.4586662155175105
1780,Francisco Tinaglini,Panserraikos Serres,super-league-1,Greece,28,Goalkeeper,1839.0,0.0,0.0,0.0,0.0,400000.0,2.4521785244399092
1781,Mike te Wierik,Heracles Almelo,eredivisie,Netherlands,34,Defender,1383.0,1.0,0.0,0.065,0.0,200000.0,2.4377443398361267
1782,Maximiliano Comba,Volou Neos Podosferikos Syllogos,super-league-1,Greece,32,Attack,1750.0,4.0,0.0,0.206,0.0,300000.0,2.4318223690315195
1783,Ángel Torres,Eyüpspor,super-lig,Türkiye,26,Attack,546.0,0.0,1.0,0.0,0.165,250000.0,2.41253046100723
1784,Kosta Aleksic,Panetolikos Agrinio,super-league-1,Greece,28,Attack,999.0,3.0,0.0,0.27,0.0,450000.0,2.407936956541151
1785,Juanpi,Volou Neos Podosferikos Syllogos,super-league-1,Greece,32,Midfield,1725.0,4.0,0.0,0.209,0.0,350000.0,2.3889928593680745
1786,Lenny Pintor,Eyüpspor,super-lig,Türkiye,26,Attack,767.0,0.0,1.0,0.0,0.117,200000.0,2.375869597401659
1787,Rasmus Falk,Odense Boldklub,superliga,Denmark,34,Midfield,1702.0,0.0,3.0,0.0,0.159,250000.0,2.3574559542914804
1788,Bruno Martins Indi,Sparta Rotterdam,eredivisie,Netherlands,34,Defender,2211.0,1.0,0.0,0.041,0.0,300000.0,2.3500812363357735
1789,Ui-jo Hwang,Alanyaspor,super-lig,Türkiye,34,Midfield,2473.0,4.0,6.0,0.146,0.218,500000.0,2.30716946756666
1790,Roman Neustädter,KVC Westerlo,jupiler-pro-league,Belgium,38,Defender,912.0,0.0,0.0,0.0,0.0,100000.0,2.306153417553511
1791,Vernon de Marco,Panserraikos Serres,super-league-1,Greece,34,Defender,1994.0,2.0,0.0,0.09,0.0,250000.0,2.2970754902075425
1792,Henrik Dalsgaard,Aarhus GF,superliga,Denmark,37,Defender,1604.0,0.0,0.0,0.0,0.0,100000.0,2.2967491306765924
1793,David Simón,Athlitiki Enosi Kifisias,super-league-1,Greece,38,Defender,1547.0,0.0,1.0,0.0,0.058,50000.0,2.23077402465761
1794,Ángelo Sagal,Athlitiki Enosi Larisas,super-league-1,Greece,33,Attack,1243.0,5.0,0.0,0.362,0.0,350000.0,2.224760547835122
1795,Lazar Kojic,Panetolikos Agrinio,super-league-1,Greece,27,Midfield,1627.0,0.0,0.0,0.0,0.0,450000.0,2.2100456609532677
1796,Henk Veerman,FC Volendam,eredivisie,Netherlands,35,Attack,1696.0,4.0,1.0,0.212,0.053,250000.0,2.193034910510146
1797,Nicolai Poulsen,Aarhus GF,superliga,Denmark,33,Midfield,1247.0,1.0,2.0,0.072,0.144,200000.0,2.1441103060534523
1798,Charles,Vitória Guimarães SC,liga-portugal,Portugal,32,Goalkeeper,1710.0,0.0,0.0,0.0,0.0,300000.0,2.142981845808748
1799,Jens Toornstra,Sparta Rotterdam,eredivisie,Netherlands,37,Midfield,792.0,0.0,0.0,0.0,0.0,200000.0,2.1165917119932556
1800,José Fonte,Casa Pia AC,liga-portugal,Portugal,43,Defender,1439.0,1.0,0.0,0.063,0.0,100000.0,2.0649247566605493
1801,Mike Vestergård,Vejle Boldklub,superliga,Denmark,29,Midfield,1792.0,0.0,1.0,0.0,0.05,350000.0,2.0338329678907314
1802,Cassiano,Casa Pia AC,liga-portugal,Portugal,37,Attack,1884.0,6.0,0.0,0.287,0.0,150000.0,2.029289821587465
1803,Theocharis Iliadis,Athlitiki Enosi Larisas,super-league-1,Greece,30,Defender,879.0,0.0,0.0,0.0,0.0,350000.0,2.0274039439076588
1804,Mansur,APS Atromitos Athinon,super-league-1,Greece,33,Defender,1826.0,1.0,1.0,0.049,0.049,250000.0,2.0167722674214095
1805,Jérôme Onguéné,Eyüpspor,super-lig,Türkiye,29,Defender,782.0,0.0,2.0,0.0,0.23,250000.0,2.005647669307923
1806,Georgios Mygas,Volou Neos Podosferikos Syllogos,super-league-1,Greece,32,Defender,1281.0,0.0,1.0,0.0,0.07,250000.0,2.0006726661116034
1807,Caio Secco,Moreirense FC,liga-portugal,Portugal,36,Goalkeeper,990.0,0.0,0.0,0.0,0.0,100000.0,1.9705502393510483
1808,Serdar Dursun,Kocaelispor,super-lig,Türkiye,35,Attack,1526.0,6.0,2.0,0.354,0.118,250000.0,1.9652462354282876
1809,Vasilios Xenopoulos,Athlitiki Enosi Kifisias,super-league-1,Greece,28,Goalkeeper,540.0,0.0,0.0,0.0,0.0,300000.0,1.916323433442375
1810,Frederik Tingager,Aarhus GF,superliga,Denmark,33,Defender,966.0,0.0,1.0,0.0,0.093,150000.0,1.9016515531949822
1811,Alexandru Maxim,Gaziantep FK,super-lig,Türkiye,36,Midfield,2698.0,5.0,7.0,0.167,0.234,300000.0,1.8367644661472258
1812,Guilherme,Konyaspor,super-lig,Türkiye,36,Defender,1860.0,0.0,1.0,0.0,0.048,200000.0,1.8311803324072844
1813,Anthony Nwakaeme,Trabzonspor,super-lig,Türkiye,37,Attack,644.0,0.0,2.0,0.0,0.28,150000.0,1.814372574459581
1814,Giannis Kargas,Volou Neos Podosferikos Syllogos,super-league-1,Greece,32,Defender,2016.0,0.0,0.0,0.0,0.0,250000.0,1.8003326888099591
1815,Charalampos Mavrias,Panetolikos Agrinio,super-league-1,Greece,32,Defender,1193.0,1.0,0.0,0.075,0.0,300000.0,1.796635669863376
1816,Denis Odoi,NAC Breda,eredivisie,Netherlands,38,Defender,1513.0,0.0,0.0,0.0,0.0,150000.0,1.7951011217909583
1817,Frederico Venâncio,CD Santa Clara,liga-portugal,Portugal,33,Defender,1731.0,1.0,1.0,0.052,0.052,300000.0,1.7919126628214543
1818,Andreas Gianniotis,Kasimpasa,super-lig,Türkiye,34,Goalkeeper,2970.0,1.0,0.0,0.03,0.0,300000.0,1.7814318612046984
1819,Nikolaos Karelis,Panserraikos Serres,super-league-1,Greece,34,Attack,544.0,0.0,2.0,0.0,0.331,250000.0,1.767577482597954
1820,Erhan Erentürk,Gençlerbirliği Spor Kulübü,super-lig,Türkiye,31,Goalkeeper,630.0,0.0,0.0,0.0,0.0,200000.0,1.7497725554905845
1821,Rodrigo Pinho,CF Estrela Amadora,liga-portugal,Portugal,35,Attack,1185.0,4.0,1.0,0.304,0.076,150000.0,1.7367539076585388
1822,João Afonso,CD Tondela,liga-portugal,Portugal,36,Defender,608.0,0.0,0.0,0.0,0.0,50000.0,1.733132897954753
